"Start.Time","End.Time","Bird.Call","Location","Distance","Date","Scientific.name","Confidence","File","resultsfile","studysite"
15,18,"Eastern Wood-Pewee","eno","25m","0521","Contopus virens",0.5729,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0521.WAV","EnoRiver_25m_0521.BirdNET.results.csv","EnoRiver"
25.5,28.5,"Mourning Dove","eno","25m","0521","Zenaida macroura",0.2142,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0521.WAV","EnoRiver_25m_0521.BirdNET.results.csv","EnoRiver"
33,36,"Yellow-billed Cuckoo","eno","25m","0521","Coccyzus americanus",0.9006,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0521.WAV","EnoRiver_25m_0521.BirdNET.results.csv","EnoRiver"
46.5,49.5,"Blue-gray Gnatcatcher","eno","25m","0521","Polioptila caerulea",0.9601,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0521.WAV","EnoRiver_25m_0521.BirdNET.results.csv","EnoRiver"
49.5,52.5,"Carolina Wren","eno","25m","0521","Thryothorus ludovicianus",0.9604,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0521.WAV","EnoRiver_25m_0521.BirdNET.results.csv","EnoRiver"
52.5,55.5,"Eastern Wood-Pewee","eno","25m","0521","Contopus virens",0.3371,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0521.WAV","EnoRiver_25m_0521.BirdNET.results.csv","EnoRiver"
67.5,70.5,"Mourning Dove","eno","25m","0521","Zenaida macroura",0.2365,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0521.WAV","EnoRiver_25m_0521.BirdNET.results.csv","EnoRiver"
78,81,"Yellow-billed Cuckoo","eno","25m","0521","Coccyzus americanus",0.9761,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0521.WAV","EnoRiver_25m_0521.BirdNET.results.csv","EnoRiver"
88.5,91.5,"Acadian Flycatcher","eno","25m","0521","Empidonax virescens",0.5688,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0521.WAV","EnoRiver_25m_0521.BirdNET.results.csv","EnoRiver"
90,93,"Blue-gray Gnatcatcher","eno","25m","0521","Polioptila caerulea",0.8818,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0521.WAV","EnoRiver_25m_0521.BirdNET.results.csv","EnoRiver"
94.5,97.5,"Carolina Wren","eno","25m","0521","Thryothorus ludovicianus",0.6596,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0521.WAV","EnoRiver_25m_0521.BirdNET.results.csv","EnoRiver"
97.5,100.5,"Eastern Wood-Pewee","eno","25m","0521","Contopus virens",0.2001,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0521.WAV","EnoRiver_25m_0521.BirdNET.results.csv","EnoRiver"
105,108,"Mourning Dove","eno","25m","0521","Zenaida macroura",0.2484,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0521.WAV","EnoRiver_25m_0521.BirdNET.results.csv","EnoRiver"
109.5,112.5,"Yellow-billed Cuckoo","eno","25m","0521","Coccyzus americanus",0.8077,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0521.WAV","EnoRiver_25m_0521.BirdNET.results.csv","EnoRiver"
129,132,"Acadian Flycatcher","eno","25m","0521","Empidonax virescens",0.8742,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0521.WAV","EnoRiver_25m_0521.BirdNET.results.csv","EnoRiver"
133.5,136.5,"Blue-gray Gnatcatcher","eno","25m","0521","Polioptila caerulea",0.7797,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0521.WAV","EnoRiver_25m_0521.BirdNET.results.csv","EnoRiver"
136.5,139.5,"Carolina Wren","eno","25m","0521","Thryothorus ludovicianus",0.4712,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0521.WAV","EnoRiver_25m_0521.BirdNET.results.csv","EnoRiver"
141,144,"Eastern Wood-Pewee","eno","25m","0521","Contopus virens",0.0079,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0521.WAV","EnoRiver_25m_0521.BirdNET.results.csv","EnoRiver"
145.5,148.5,"Mourning Dove","eno","25m","0521","Zenaida macroura",0.3096,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0521.WAV","EnoRiver_25m_0521.BirdNET.results.csv","EnoRiver"
154.5,157.5,"Yellow-billed Cuckoo","eno","25m","0521","Coccyzus americanus",0.978,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0521.WAV","EnoRiver_25m_0521.BirdNET.results.csv","EnoRiver"
67.5,70.5,"Acadian Flycatcher","eno","50m","0521","Empidonax virescens",0.6454,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0521.WAV","EnoRiver_50m_0521.BirdNET.results.csv","EnoRiver"
70.5,73.5,"Blue-gray Gnatcatcher","eno","50m","0521","Polioptila caerulea",0.3755,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0521.WAV","EnoRiver_50m_0521.BirdNET.results.csv","EnoRiver"
73.5,76.5,"Carolina Wren","eno","50m","0521","Thryothorus ludovicianus",0.571,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0521.WAV","EnoRiver_50m_0521.BirdNET.results.csv","EnoRiver"
78,81,"Eastern Wood-Pewee","eno","50m","0521","Contopus virens",0.5109,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0521.WAV","EnoRiver_50m_0521.BirdNET.results.csv","EnoRiver"
82.5,85.5,"Mourning Dove","eno","50m","0521","Zenaida macroura",0.0024,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0521.WAV","EnoRiver_50m_0521.BirdNET.results.csv","EnoRiver"
94.5,97.5,"Yellow-billed Cuckoo","eno","50m","0521","Coccyzus americanus",0.0136,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0521.WAV","EnoRiver_50m_0521.BirdNET.results.csv","EnoRiver"
108,111,"Acadian Flycatcher","eno","50m","0521","Empidonax virescens",0.7733,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0521.WAV","EnoRiver_50m_0521.BirdNET.results.csv","EnoRiver"
111,114,"Blue-gray Gnatcatcher","eno","50m","0521","Polioptila caerulea",0.4326,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0521.WAV","EnoRiver_50m_0521.BirdNET.results.csv","EnoRiver"
114,117,"Carolina Wren","eno","50m","0521","Thryothorus ludovicianus",0.7421,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0521.WAV","EnoRiver_50m_0521.BirdNET.results.csv","EnoRiver"
118.5,121.5,"Eastern Wood-Pewee","eno","50m","0521","Contopus virens",0.7125,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0521.WAV","EnoRiver_50m_0521.BirdNET.results.csv","EnoRiver"
124.5,127.5,"Mourning Dove","eno","50m","0521","Zenaida macroura",0.0014,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0521.WAV","EnoRiver_50m_0521.BirdNET.results.csv","EnoRiver"
132,135,"Yellow-billed Cuckoo","eno","50m","0521","Coccyzus americanus",0.0028,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0521.WAV","EnoRiver_50m_0521.BirdNET.results.csv","EnoRiver"
144,147,"Acadian Flycatcher","eno","50m","0521","Empidonax virescens",0.7067,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0521.WAV","EnoRiver_50m_0521.BirdNET.results.csv","EnoRiver"
150,153,"Blue-gray Gnatcatcher","eno","50m","0521","Polioptila caerulea",0.8503,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0521.WAV","EnoRiver_50m_0521.BirdNET.results.csv","EnoRiver"
153,156,"Carolina Wren","eno","50m","0521","Thryothorus ludovicianus",0.9296,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0521.WAV","EnoRiver_50m_0521.BirdNET.results.csv","EnoRiver"
156,159,"Eastern Wood-Pewee","eno","50m","0521","Contopus virens",0.901,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0521.WAV","EnoRiver_50m_0521.BirdNET.results.csv","EnoRiver"
163.5,166.5,"Mourning Dove","eno","50m","0521","Zenaida macroura",4e-04,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0521.WAV","EnoRiver_50m_0521.BirdNET.results.csv","EnoRiver"
169.5,172.5,"Yellow-billed Cuckoo","eno","50m","0521","Coccyzus americanus",0.0011,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0521.WAV","EnoRiver_50m_0521.BirdNET.results.csv","EnoRiver"
183,186,"Acadian Flycatcher","eno","50m","0521","Empidonax virescens",0.1445,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0521.WAV","EnoRiver_50m_0521.BirdNET.results.csv","EnoRiver"
184.5,187.5,"Blue-gray Gnatcatcher","eno","50m","0521","Polioptila caerulea",0.0015,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0521.WAV","EnoRiver_50m_0521.BirdNET.results.csv","EnoRiver"
189,192,"Carolina Wren","eno","50m","0521","Thryothorus ludovicianus",0.4808,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0521.WAV","EnoRiver_50m_0521.BirdNET.results.csv","EnoRiver"
190.5,193.5,"Eastern Wood-Pewee","eno","50m","0521","Contopus virens",0.4918,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0521.WAV","EnoRiver_50m_0521.BirdNET.results.csv","EnoRiver"
198,201,"Mourning Dove","eno","50m","0521","Zenaida macroura",0.004,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0521.WAV","EnoRiver_50m_0521.BirdNET.results.csv","EnoRiver"
204,207,"Yellow-billed Cuckoo","eno","50m","0521","Coccyzus americanus",0.0126,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0521.WAV","EnoRiver_50m_0521.BirdNET.results.csv","EnoRiver"
55.5,58.5,"Acadian Flycatcher","eno","25m","0618","Empidonax virescens",0.8852,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0618.WAV","EnoRiver_25m_0618.BirdNET.results.csv","EnoRiver"
61.5,64.5,"Blue-gray Gnatcatcher","eno","25m","0618","Polioptila caerulea",0.9838,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0618.WAV","EnoRiver_25m_0618.BirdNET.results.csv","EnoRiver"
64.5,67.5,"Carolina Wren","eno","25m","0618","Thryothorus ludovicianus",0.8698,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0618.WAV","EnoRiver_25m_0618.BirdNET.results.csv","EnoRiver"
69,72,"Eastern Wood-Pewee","eno","25m","0618","Contopus virens",0.7578,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0618.WAV","EnoRiver_25m_0618.BirdNET.results.csv","EnoRiver"
73.5,76.5,"Mourning Dove","eno","25m","0618","Zenaida macroura",0.9092,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0618.WAV","EnoRiver_25m_0618.BirdNET.results.csv","EnoRiver"
82.5,85.5,"Yellow-billed Cuckoo","eno","25m","0618","Coccyzus americanus",0.9239,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0618.WAV","EnoRiver_25m_0618.BirdNET.results.csv","EnoRiver"
91.5,94.5,"Acadian Flycatcher","eno","25m","0618","Empidonax virescens",0.6036,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0618.WAV","EnoRiver_25m_0618.BirdNET.results.csv","EnoRiver"
94.5,97.5,"Blue-gray Gnatcatcher","eno","25m","0618","Polioptila caerulea",0.8447,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0618.WAV","EnoRiver_25m_0618.BirdNET.results.csv","EnoRiver"
99,102,"Carolina Wren","eno","25m","0618","Thryothorus ludovicianus",0.4409,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0618.WAV","EnoRiver_25m_0618.BirdNET.results.csv","EnoRiver"
102,105,"Eastern Wood-Pewee","eno","25m","0618","Contopus virens",0.9257,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0618.WAV","EnoRiver_25m_0618.BirdNET.results.csv","EnoRiver"
106.5,109.5,"Mourning Dove","eno","25m","0618","Zenaida macroura",0.8275,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0618.WAV","EnoRiver_25m_0618.BirdNET.results.csv","EnoRiver"
115.5,118.5,"Yellow-billed Cuckoo","eno","25m","0618","Coccyzus americanus",0.9687,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0618.WAV","EnoRiver_25m_0618.BirdNET.results.csv","EnoRiver"
124.5,127.5,"Acadian Flycatcher","eno","25m","0618","Empidonax virescens",0.3037,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0618.WAV","EnoRiver_25m_0618.BirdNET.results.csv","EnoRiver"
127.5,130.5,"Blue-gray Gnatcatcher","eno","25m","0618","Polioptila caerulea",0.962,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0618.WAV","EnoRiver_25m_0618.BirdNET.results.csv","EnoRiver"
132,135,"Carolina Wren","eno","25m","0618","Thryothorus ludovicianus",0.9737,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0618.WAV","EnoRiver_25m_0618.BirdNET.results.csv","EnoRiver"
133.5,136.5,"Eastern Wood-Pewee","eno","25m","0618","Contopus virens",0.5545,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0618.WAV","EnoRiver_25m_0618.BirdNET.results.csv","EnoRiver"
141,144,"Mourning Dove","eno","25m","0618","Zenaida macroura",0.1854,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0618.WAV","EnoRiver_25m_0618.BirdNET.results.csv","EnoRiver"
150,153,"Yellow-billed Cuckoo","eno","25m","0618","Coccyzus americanus",0.9379,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0618.WAV","EnoRiver_25m_0618.BirdNET.results.csv","EnoRiver"
12,15,"Acadian Flycatcher","eno","50m","0618","Empidonax virescens",0.0077,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0618.WAV","EnoRiver_50m_0618.BirdNET.results.csv","EnoRiver"
13.5,16.5,"Blue-gray Gnatcatcher","eno","50m","0618","Polioptila caerulea",0.6358,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0618.WAV","EnoRiver_50m_0618.BirdNET.results.csv","EnoRiver"
18,21,"Carolina Wren","eno","50m","0618","Thryothorus ludovicianus",9e-04,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0618.WAV","EnoRiver_50m_0618.BirdNET.results.csv","EnoRiver"
21,24,"Eastern Wood-Pewee","eno","50m","0618","Contopus virens",0.0115,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0618.WAV","EnoRiver_50m_0618.BirdNET.results.csv","EnoRiver"
30,33,"Mourning Dove","eno","50m","0618","Zenaida macroura",0.05,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0618.WAV","EnoRiver_50m_0618.BirdNET.results.csv","EnoRiver"
34.5,37.5,"Yellow-billed Cuckoo","eno","50m","0618","Coccyzus americanus",0.6367,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0618.WAV","EnoRiver_50m_0618.BirdNET.results.csv","EnoRiver"
46.5,49.5,"Acadian Flycatcher","eno","50m","0618","Empidonax virescens",0.0314,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0618.WAV","EnoRiver_50m_0618.BirdNET.results.csv","EnoRiver"
51,54,"Blue-gray Gnatcatcher","eno","50m","0618","Polioptila caerulea",0.4392,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0618.WAV","EnoRiver_50m_0618.BirdNET.results.csv","EnoRiver"
60,63,"Carolina Wren","eno","50m","0618","Thryothorus ludovicianus",0.1275,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0618.WAV","EnoRiver_50m_0618.BirdNET.results.csv","EnoRiver"
64.5,67.5,"Eastern Wood-Pewee","eno","50m","0618","Contopus virens",0.634,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0618.WAV","EnoRiver_50m_0618.BirdNET.results.csv","EnoRiver"
79.5,82.5,"Mourning Dove","eno","50m","0618","Zenaida macroura",0.0988,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0618.WAV","EnoRiver_50m_0618.BirdNET.results.csv","EnoRiver"
90,93,"Yellow-billed Cuckoo","eno","50m","0618","Coccyzus americanus",0.9896,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0618.WAV","EnoRiver_50m_0618.BirdNET.results.csv","EnoRiver"
99,102,"Acadian Flycatcher","eno","50m","0618","Empidonax virescens",0.1919,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0618.WAV","EnoRiver_50m_0618.BirdNET.results.csv","EnoRiver"
102,105,"Blue-gray Gnatcatcher","eno","50m","0618","Polioptila caerulea",0.4711,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0618.WAV","EnoRiver_50m_0618.BirdNET.results.csv","EnoRiver"
106.5,109.5,"Carolina Wren","eno","50m","0618","Thryothorus ludovicianus",0.3228,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0618.WAV","EnoRiver_50m_0618.BirdNET.results.csv","EnoRiver"
111,114,"Eastern Wood-Pewee","eno","50m","0618","Contopus virens",0.4842,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0618.WAV","EnoRiver_50m_0618.BirdNET.results.csv","EnoRiver"
118.5,121.5,"Mourning Dove","eno","50m","0618","Zenaida macroura",0.2444,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0618.WAV","EnoRiver_50m_0618.BirdNET.results.csv","EnoRiver"
124.5,127.5,"Yellow-billed Cuckoo","eno","50m","0618","Coccyzus americanus",0.9955,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0618.WAV","EnoRiver_50m_0618.BirdNET.results.csv","EnoRiver"
136.5,139.5,"Acadian Flycatcher","eno","50m","0618","Empidonax virescens",0.1365,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0618.WAV","EnoRiver_50m_0618.BirdNET.results.csv","EnoRiver"
139.5,142.5,"Blue-gray Gnatcatcher","eno","50m","0618","Polioptila caerulea",0.2859,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0618.WAV","EnoRiver_50m_0618.BirdNET.results.csv","EnoRiver"
142.5,145.5,"Carolina Wren","eno","50m","0618","Thryothorus ludovicianus",0.4052,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0618.WAV","EnoRiver_50m_0618.BirdNET.results.csv","EnoRiver"
145.5,148.5,"Eastern Wood-Pewee","eno","50m","0618","Contopus virens",0.0079,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0618.WAV","EnoRiver_50m_0618.BirdNET.results.csv","EnoRiver"
153,156,"Mourning Dove","eno","50m","0618","Zenaida macroura",0.0084,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0618.WAV","EnoRiver_50m_0618.BirdNET.results.csv","EnoRiver"
159,162,"Yellow-billed Cuckoo","eno","50m","0618","Coccyzus americanus",0.9765,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_50m_0618.WAV","EnoRiver_50m_0618.BirdNET.results.csv","EnoRiver"
