"","file","max_running_avg","Start.s.","End.s.","Scientificname","Commonname","Confidence"
"38","6_25N_BG_100.wav",0.0291088017131753,0,3,"Polioptilacaerulea","Blue-grayGnatcatcher",0.8909
"39","6_25N_BG_75.wav",0.00632554761630529,0,3,"Polioptilacaerulea","Blue-grayGnatcatcher",0.925
"40","6_25N_CW5_50.wav",0.0273377599746075,0,3,"Thryothorusludovicianus","CarolinaWren",0.982
"41","6_25N_CW5_75.wav",0.0209893852109421,0,3,"Thryothorusludovicianus","CarolinaWren",0.9926
"42","6_25N_EWP_100.wav",0.0392671261835897,0,3,"Contopusvirens","EasternWood-Pewee",0.9166
"43","6_25N_YBC_100.wav",0.0517200992303354,0,3,"Coccyzusamericanus","Yellow-billedCuckoo",0.9929
"44","6_25N_YBC_100.wav",0.0517200992303354,3,6,"Coccyzusamericanus","Yellow-billedCuckoo",0.9587
"45","9_25W_AF_100.wav",0.0375960707461551,0,3,"Empidonaxvirescens","AcadianFlycatcher",0.9825
"46","9_25W_AF_75.wav",0.032438264092465,0,3,"Empidonaxvirescens","AcadianFlycatcher",0.952
"47","9_25W_BG_100.wav",0.0259421595600766,0,3,"Polioptilacaerulea","Blue-grayGnatcatcher",0.9738
"48","9_25W_BG_100.wav",0.0259421595600766,3,6,"Polioptilacaerulea","Blue-grayGnatcatcher",0.3818
"49","9_25W_CW5_50.wav",0.0292833371734439,0,3,"Thryothorusludovicianus","CarolinaWren",0.9748
"50","9_25W_CW5_75.wav",0.0230531666606971,0,3,"Thryothorusludovicianus","CarolinaWren",0.9981
"51","9_25W_EWP_100.wav",0.0285515062613003,0,3,"Contopusvirens","EasternWood-Pewee",0.9348
"52","9_25W_EWP_75.wav",0.028550336490235,0,3,"Contopusvirens","EasternWood-Pewee",0.9655
"53","9_25W_YBC_100.wav",0.0309567926766527,0,3,"Coccyzusamericanus","Yellow-billedCuckoo",0.5324
"54","9_25W_YBC_75.wav",0.0283833686046814,0,3,"Coccyzusamericanus","Yellow-billedCuckoo",0.1319
