Site Identifier,Location,Elevation (m),Nest Height (m),Substrate Relation,Substrate,Entrance Orientation,Cavity Entrance Diameter,Primary Habitat,Secondary Habitat,Human-Modified Habitat
L1038127,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1038143,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1039038,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1040903,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1040932,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1042191,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1042195,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1042250,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1042258,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1113180,US-NC,,,in,nesbox,,,,,
L1131654,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1425389,US-NC,,1.52400,in,nesbox,n,3.81000,NW-grass,NW-grass,
L1425524,US-NC,,1.52400,in,nesbox,s,3.81000,NW-grass,NW-grass,
L1425545,US-NC,,1.52400,in,nesbox,n,3.81000,NW-grass,NW-grass,
L1425551,US-NC,,1.52400,in,nesbox,n,3.81000,NW-human,NW-grass,NW-park
L1425571,US-NC,,1.52400,in,nesbox,n,3.81000,NW-grass,NW-human,NW-road
L3832924,US-NC,,1.70690,on,poptow,,,NW-ag,NW-ag,
L3832927,US-NC,688.84800,1.67640,on,poptow,,,NW-ag,NW-ag,
L3832946,US-NC,677.26560,1.67640,on,poptow,,,NW-ag,NW-ag,
L3832950,US-NC,676.04640,1.64590,on,poptow,,,NW-ag,NW-ag,
L3832954,US-NC,679.39920,1.70690,on,poptow,,,NW-ag,NW-ag,
L3832957,US-NC,669.03600,1.58500,on,poptow,,,NW-ag,NW-ag,
L3832974,US-NC,701.95440,1.58500,on,poptow,,,NW-ag,NW-ag,
L3832988,US-NC,689.15280,1.82880,on,poptow,,,NW-ag,NW-road,
L3832996,US-NC,677.57040,1.70690,on,poptow,,,NW-ag,NW-road,
L3833003,US-NC,691.59120,1.73740,on,poptow,,,NW-ag,NW-ag,
L4443057,US-NC,99.97440,1.58500,in,nesbox,nw,1.50000,NW-ry,NW-ry,
L4451584,US-NC,198.12000,1.82880,under,poptow,,,NW-for,NW-fw,
L212794,US-NC,146.30100,2.05740,in,nesbox,se,3.97000,,,
L5634100,US-NC,99.97440,1.58500,in,nesbox,n,3.81000,NW-park,NW-park,
L5867921,US-NC,,,in,nesbox,,,NW-park,NW-grass,
L5898879,US-NC,,,in,nesbox,,,,,
L2276378,US-NC,,1.52400,on,poptow,,,NW-ry,NW-fw,
L56711,US-NC,152.40000,1.64900,in,nesbox,e,4.14000,NW-ry,,
L7220285,US-NC,204.21600,1.67640,in,nesbox,se,3.81000,NW-for,NW-fw,
L7220537,US-NC,204.21600,1.67640,in,nesbox,e,3.81000,NW-for,NW-ag,
L8838687,US-NC,,1.52400,in,nesbox,s,,NW-ry,NW-ry,
L8853788,US-NC,,1.54840,in,nesbox,ne,3.81000,NW-golf,NW-ry,
L10371535,US-NC,219.45600,1.82880,in,nesbox,s,3.81000,NW-ry,NW-ry,
L10683752,US-NC,222.50400,1.82880,in,nesbox,se,3.81000,NW-ry,NW-ry,
L10690935,US-NC,222.50400,2.13360,in,nesbox,s,3.81000,NW-for,NW-golf,
L10765858,US-NC,222.50400,1.52400,in,nesbox,ne,3.81000,NW-ry,NW-ry,
L10371429,US-NC,219.45600,1.52400,in,nesbox,se,3.81000,NW-ry,NW-ry,
L5634067,US-NC,99.97440,1.58500,in,nesbox,e,3.81000,NW-park,NW-park,
L10940406,US-NC,99.97440,1.58500,in,nesbox,e,,NW-park,NW-park,
L10940514,US-NC,99.97440,1.58500,in,nesbox,e,3.81000,NW-park,NW-park,
L10940549,US-NC,99.97440,1.58500,in,nesbox,e,3.81000,NW-park,NW-park,
L10940442,US-NC,99.97440,1.58500,in,nesbox,e,3.81000,NW-park,NW-park,
L9541944,US-NC,362.10240,1.67640,in,nesbox,n,3.81000,NW-ry,NW-ry,
L11042130,US-NC,207.26400,2.13360,in,nesbox,e,3.81000,NW-road,NW-for,
L11042151,US-NC,207.26400,1.98120,in,nesbox,e,3.81000,NW-ag,NW-for,
L11335525,US-NC,270.11380,1.82880,in,nesbox,s,,NW-ry,NW-for,
L11666728,US-NC,0.00000,1.52400,in,nesbox,e,,,,
L13034845,US-NC,0.00000,1.52400,in,nesbox,,,,,
L13034930,US-NC,0.00000,1.52400,in,nesbox,e,,,,
L13035008,US-NC,0.00000,1.52400,in,nesbox,,,,,
L13035037,US-NC,0.00000,1.52400,in,nesbox,,,,,
L13035278,US-NC,0.00000,1.52400,in,nesbox,,,,,
L13819832,US-NC,216.40800,1.67640,in,nesbox,s,3.81000,NW-park,NW-park,
L13826625,US-NC,219.45600,1.82880,in,nesbox,s,3.81000,NW-ry,NW-ry,
L13474162,US-NC,,,in,nesbox,,,,,
L13467902,US-NC,,1.52400,in,nesbox,w,3.81000,NW-grass,NW-grass,
L13467965,US-NC,,1.52400,in,nesbox,n,3.81000,NW-grass,NW-grass,
L13467988,US-NC,,1.52400,in,nesbox,sw,3.81000,NW-grass,NW-grass,
L13474168,US-NC,,1.52400,in,nesbox,e,3.81000,NW-park,NW-grass,
L13559235,US-NC,,1.52400,in,nesbox,se,3.81000,NW-park,NW-park,
L13559364,US-NC,,1.52400,in,nesbox,s,3.81000,NW-park,NW-park,
L13559381,US-NC,,1.52400,in,nesbox,w,3.81000,NW-park,NW-for,
L13559253,US-NC,,1.52400,in,nesbox,e,3.81000,NW-park,NW-park,
L13559429,US-NC,,1.52400,in,nesbox,n,3.81000,NW-park,NW-fw,
L13559467,US-NC,,1.52400,in,nesbox,w,3.81000,NW-park,NW-park,
L13559492,US-NC,,1.52400,in,nesbox,e,3.81000,NW-park,NW-park,
L8853844,US-NC,,1.57280,in,nesbox,se,3.81000,NW-golf,NW-ry,
L8854014,US-NC,,1.60020,in,nesbox,sw,3.81000,NW-golf,NW-ry,
L14145998,US-NC,0.00000,1.82880,in,nesbox,sw,,,,
L14326639,US-NC,244.14480,1.52400,on,poptow,,,NW-ry,NW-for,
L344787,US-NC,152.40000,1.42040,in,nesbox,ne,4.12800,NW-golf,NW-ry,
L344788,US-NC,141.12240,1.47220,in,nesbox,e,3.81000,NW-golf,NW-ry,
L344789,US-NC,152.40000,1.49350,in,nesbox,e,1.62500,NW-golf,NW-golf,
L344790,US-NC,152.40000,1.52400,in,nesbox,n,1.62500,NW-golf,NW-golf,
L344793,US-NC,152.40000,1.79830,in,nesbox,e,3.81000,NW-golf,NW-golf,
L344795,US-NC,152.40000,1.42040,in,nesbox,n,1.62500,NW-golf,NW-golf,
L344798,US-NC,152.40000,1.49350,in,nesbox,e,4.12800,NW-golf,NW-golf,
L344794,US-NC,152.40000,1.52400,in,nesbox,e,4.12800,NW-golf,NW-golf,
L12694128,US-NC,152.40000,1.82880,in,nesbox,ne,3.81000,NW-for,NW-golf,
L344801,US-NC,152.40000,1.49350,in,nesbox,e,1.62500,NW-for,NW-golf,
L344802,US-NC,152.40000,1.49350,in,nesbox,ne,4.12800,NW-golf,NW-ry,
L344804,US-NC,152.40000,1.67640,in,nesbox,e,1.62500,NW-golf,NW-golf,
L12694231,US-NC,152.40000,1.52400,in,nesbox,ne,4.06400,NW-for,NW-golf,
L344805,US-NC,152.40000,1.44780,in,nesbox,nw,4.12800,NW-for,NW-golf,
L344807,US-NC,152.40000,1.82880,in,nesbox,e,4.12800,NW-golf,NW-golf,
L12694275,US-NC,152.40000,1.82880,in,nesbox,ne,4.12800,NW-for,NW-golf,
L344810,US-NC,152.40000,1.82880,in,nesbox,ne,1.62500,NW-golf,NW-golf,
L344811,US-NC,152.40000,1.42040,in,nesbox,e,2.54000,NW-golf,NW-golf,
L344815,US-NC,152.40000,1.82880,in,nesbox,e,4.12800,NW-golf,NW-golf,
L15113286,US-NC,,,in,nesbox,,,,,
L15271241,US-NC,,1.52400,in,nesbox,e,3.81000,NW-park,NW-grass,
L7299149,US-NC,16.76400,1.52400,on,poptow,ne,3.17500,NW-ry,NW-ry,
L15586817,US-NC,,1.83000,,nesbox,ne,,,,
L15763167,US-NC,,1.52400,in,nesbox,s,3.81000,NW-park,NW-park,
L344814,US-NC,152.40000,1.52400,in,nesbox,n,4.12800,NW-golf,NW-golf,
L344791,US-NC,152.40000,1.49350,in,nesbox,n,1.62500,NW-golf,NW-ry,
L16481639,US-NC,295.65600,1.82880,in,nesbox,n,3.81000,NW-ry,NW-for,
L11176225,US-NC,301.44720,19.81200,in,nesbox,n,3.81000,NW-ry,NW-ry,
L13819858,US-NC,219.45600,1.82880,in,nesbox,e,3.81000,NW-park,NW-park,
L13826594,US-NC,219.45600,1.52400,in,nesbox,se,3.81000,NW-ry,NW-ry,
L17727101,US-NC,219.45600,1.52400,in,nesbox,n,3.81000,NW-ry,NW-for,
L16828121,US-NC,228.60000,1.52400,in,nesbox,e,3.81000,NW-park,NW-park,
L1042274,US-NC,,1.52400,in,nesbox,,,NW-ry,NW-ry,
L17952727,US-NC,,1.52400,in,nesbox,ne,3.81000,NW-park,NW-park,
L17952807,US-NC,,1.52400,in,nesbox,e,3.81000,NW-park,NW-park,
L17952821,US-NC,,1.52400,in,nesbox,n,3.81000,NW-park,NW-park,
L17952838,US-NC,,1.52400,in,nesbox,e,3.81000,NW-park,NW-park,
L17952743,US-NC,,1.52400,in,nesbox,n,3.81000,NW-park,NW-park,
L18150944,US-NC,,,,nesbox,e,,,,
L18140015,US-NC,99.97440,1.58500,in,nesbox,n,3.81000,NW-ry,NW-ry,
L10683881,US-NC,222.50400,1.98120,in,nesbox,s,3.81000,NW-ry,NW-ry,
L1042292,US-NC,,,in,nesbox,,,NW-ry,NW-ry,
L1039032,US-NC,,,in,nesbox,,,NW-ry,NW-ry,
L8880260,US-NC,,1.70080,in,nesbox,e,3.81000,NW-golf,NW-golf,
L18619044,US-NC,362.10240,1.52400,in,nesbox,ne,3.81000,NW-ry,NW-ry,
L8880841,US-NC,231.95280,1.67640,in,nesbox,w,2.54000,NW-ry,NW-ry,
L19790977,US-NC,,,,nesbox,,,,,
L18062686,US-NC,148.13280,1.52400,in,nesbox,se,3.81000,NW-campus,NW-campus,
L18316985,US-NC,,1.52400,in,nesbox,sw,3.81000,NW-ry,NW-ry,
L8853997,US-NC,,1.70080,in,nesbox,se,3.81000,NW-golf,NW-ry,
L8854055,US-NC,,1.54840,in,nesbox,w,3.81000,NW-park,NW-ry,
L8854078,US-NC,,1.52400,in,nesbox,w,3.81000,NW-ry,NW-ry,
L8853881,US-NC,,1.65200,in,nesbox,s,3.81000,NW-ry,NW-ry,
L8853895,US-NC,,1.57580,in,nesbox,sw,3.81000,NW-ry,NW-ry,
L10949281,US-NC,,1.67640,in,nesbox,s,3.81000,NW-ry,NW-golf,
L22802929,US-NC,,1.82880,in,nesbox,e,2.68300,NW-ry,,
L22828825,US-NC,295.65600,1.52400,on,poptow,,,NW-ry,NW-for,
L22864493,US-NC,,1.82880,in,nesbox,e,3.81000,NW-for,NW-ry,
L22868252,US-NC,,1.52400,in,nesbox,e,,NW-park,NW-fw,
L22868319,US-NC,,1.52400,in,nesbox,e,,NW-park,NW-fw,
L22868559,US-NC,,,in,nesbox,e,,NW-ry,NW-ry,
L10891740,US-NC,,1.67640,on,poptow,s,3.81000,NW-ry,NW-ry,
L10949323,US-NC,,1.70080,on,poptow,n,4.44500,NW-ry,NW-golf,
L14014060,US-NC,,1.54840,on,poptow,s,3.81000,NW-ry,NW-golf,
L14013744,US-NC,,1.37160,on,poptow,nw,3.81000,NW-ry,NW-golf,
L8853937,US-NC,,1.62460,on,poptow,e,3.81000,NW-ry,NW-ry,
L8853954,US-NC,,1.47220,on,poptow,se,4.44500,NW-golf,NW-ry,
L8853979,US-NC,,1.54840,on,poptow,se,4.44500,NW-golf,NW-ry,
L8854027,US-NC,,1.57280,on,poptow,ne,3.81000,NW-golf,NW-ry,
L8880247,US-NC,,1.57280,on,poptow,nw,3.81000,NW-ry,NW-ry,
L8996488,US-NC,,1.92940,on,poptow,s,3.81000,NW-ry,NW-ry,
L9069442,US-NC,,1.60020,on,poptow,se,3.81000,NW-ry,NW-ry,
L9130982,US-NC,,1.70080,on,poptow,w,3.81000,NW-ry,NW-ry,
L9514555,US-NC,,1.62460,on,poptow,s,3.81000,NW-ry,NW-ry,
L22829448,US-NC,228.60000,1.82880,in,nesbox,e,3.81000,NW-ry,NW-ry,
L11292346,US-NC,,1.54840,on,poptow,sw,4.44500,NW-ry,NW-ry,
L23094997,US-NC,,,in,nesbox,,,NW-ry,,
L22922228,US-NC,,1.52400,in,nesbox,se,3.81000,NW-ry,NW-ry,
L23142635,US-NC,,1.52400,in,nesbox,e,27.94000,NW-park,NW-park,
L15148807,US-NC,,1.58500,in,poptow,se,3.81000,NW-golf,NW-golf,
L10891784,US-NC,,1.65200,in,poptow,e,3.81000,NW-golf,NW-golf,
L13951387,US-NC,,1.65200,in,poptow,se,3.81000,NW-ry,NW-ry,
L13951335,US-NC,,1.38380,on,poptow,se,3.81000,NW-ry,NW-ry,
L10949222,US-NC,,1.53620,on,poptow,e,3.81000,NW-ry,NW-golf,
L13951250,US-NC,,1.44780,on,poptow,ne,3.81000,NW-ry,NW-ry,
L13951294,US-NC,,1.49660,on,poptow,e,3.81000,NW-ry,NW-ry,
L13951193,US-NC,,1.62460,on,poptow,sw,3.81000,NW-ry,NW-ry,
L13951036,US-NC,,1.65200,on,poptow,se,3.81000,NW-ry,NW-ry,
L23161995,US-NC,,1.52000,,nesbox,w,,,,
L8854046,US-NC,,1.62460,on,poptow,s,3.81000,NW-golf,NW-golf,
L13819775,US-NC,219.45600,1.98120,in,nesbox,e,3.81000,NW-for,NW-ry,
L17560254,US-NC,295.65600,1.82880,in,nesbox,nw,3.81000,NW-chap,NW-for,
L23785109,US-NC,295.65600,1.82880,in,nesbox,sw,3.81000,NW-park,NW-for,
L23086750,US-NC,,1.67640,in,nesbox,e,3.81000,NW-pwrln,NW-for,
L8853602,US-NC,,1.70690,on,poptow,n,3.81000,NW-golf,NW-ry,
L8853687,US-NC,,1.44780,on,other,w,3.81000,NW-golf,NW-golf,
L8853859,US-NC,,1.67640,on,poptow,nw,3.81000,NW-golf,NW-ry,
L8853702,US-NC,,1.52400,on,poptow,w,3.81000,NW-golf,NW-ry,
L8853818,US-NC,,1.67640,on,poptow,w,3.81000,NW-golf,NW-ry,
L8854105,US-NC,,1.67640,on,poptow,n,2.85800,NW-park,NW-park,
L8853830,US-NC,,1.67640,on,poptow,ne,3.81000,NW-ry,NW-ry,
L8880189,US-NC,,1.55450,on,poptow,n,3.81000,NW-for,NW-golf,
L9056557,US-NC,,1.67640,on,poptow,nw,3.81000,NW-ry,NW-ry,
L18691425,US-NC,3.04800,2.13360,in,nesbox,ne,,NW-ry,NW-for,
L8853726,US-NC,,1.67640,on,poptow,w,3.81000,NW-golf,NW-golf,
L23665898,US-NC,691.89600,1.82880,in,nesbox,sw,3.81000,NW-ry,NW-for,
L24423202,US-NC,271.88160,1.52400,in,nesbox,,3.81000,NW-campus,NW-campus,
L24422933,US-NC,271.88160,1.52400,in,nesbox,,3.81000,NW-campus,NW-campus,
L24537027,US-NC,,1.98000,in,nesbox,e,12.70000,,,
L14013796,US-NC,282.24480,1.54840,on,poptow,s,3.81000,NW-ry,NW-ry,
L12694449,US-NC,152.40000,1.82880,in,nesbox,ne,4.06400,NW-golf,NW-golf,
L9353749,US-NC,120.09000,2.00000,on,poptow,,,NW-ry,NW-for,
L9164878,US-NC,,1.62460,in,nesbox,e,3.81000,NW-ry,NW-golf,
L344792,US-NC,149.35200,1.49350,in,nesbox,e,4.12800,NW-golf,NW-golf,
L29473025,US-NC,664.46400,1.52400,in,nesbox,s,48.26000,NW-park,NW-grass,
L29473138,US-NC,655.32000,1.52400,in,nesbox,e,48.26000,NW-grass,NW-grass,
L29472928,US-NC,665.98800,1.52400,in,nesbox,sw,48.26000,NW-park,NW-for,
L29649851,US-NC,225.55200,1.82880,in,nesbox,se,3.81000,NW-ry,NW-ry,
L23574757,US-NC,222.50400,2.13360,in,nesbox,nw,3.81000,NW-ry,NW-ry,
L29670832,US-NC,222.50400,1.82880,in,nesbox,sw,3.81000,NW-for,NW-fw,
L29673879,US-NC,,1.68000,in,nesbox,e,,,,
L29777627,US-NC,,,in,nesbox,w,,,,
L29806510,US-NC,,1.22000,in,nesbox,s,,,,
L29807880,US-NC,273.40560,,in,nesbox,e,,NW-ry,,
L29812990,US-NC,,1.52000,on,buildi,,,,,
L29953280,US-NC,6.40080,1.52400,in,nesbox,e,3.81000,NW-ry,NW-ry,
L29957305,US-NC,,,in,nesbox,,,,,
L30005058,US-NC,853.44000,1.82880,on,poptow,,,NW-park,NW-fw,
L30029744,US-NC,,1.52000,in,nesbox,sw,3.81000,,,
L30042707,US-NC,,1.83000,in,nesbox,se,3.81000,,,
L30121612,US-NC,222.50400,1.82880,in,nesbox,sw,3.81000,,,
L30148199,US-NC,10.05840,,in,nesbox,s,,NW-oth,,
L30219727,US-NC,,1.83000,in,nesbox,,,,,
L30236867,US-NC,,1.83000,on,poptow,,,,,
L30312025,US-NC,,0.91440,in,nesbox,,,NW-ry,NW-ry,
L30342156,US-NC,,1.83000,in,nesbox,sw,5.08000,,,
L30375098,US-NC,,8.00000,in,nesbox,se,,,,
L30375207,US-NC,,6.00000,in,nesbox,,,,,
L30393137,US-NC,259.08000,1.67640,in,nesbox,e,3.81000,NW-ry,NW-oth,
L30497095,US-NC,,,in,nesbox,,,,,
L30528299,US-NC,228.60000,1.82880,in,nesbox,sw,3.81000,NW-for,,
L30531507,US-NC,,1.83000,in,nesbox,nw,,,,
L30538708,US-NC,,1.83000,in,nesbox,ne,,,,
L30599883,US-NC,109.11840,1.52400,in,nesbox,e,3.81000,NW-ry,NW-ry,
L30600458,US-NC,109.11840,1.52400,in,nesbox,e,3.81000,NW-ry,NW-ry,
L30898264,US-NC,259.08000,1.06680,under,other,,,NW-ry,NW-for,
L30918033,US-NC,76.20000,1.21920,in,nesbox,se,3.81000,NW-ry,NW-ry,
L30923117,US-NC,76.20000,1.21920,in,nesbox,se,3.81000,NW-ry,NW-ry,
L30954821,US-NC,,1.52400,in,nesbox,se,27.94000,NW-park,NW-golf,
L30954965,US-NC,,1.52400,in,nesbox,se,27.94000,NW-ry,NW-golf,
L30955014,US-NC,,1.52400,in,nesbox,s,27.94000,NW-ry,NW-ry,
L30955065,US-NC,,1.52400,in,nesbox,se,27.94000,NW-ry,NW-ry,
L30955240,US-NC,,1.52400,in,nesbox,nw,27.94000,NW-ry,NW-ry,
L30955319,US-NC,,1.52400,in,nesbox,se,27.94000,NW-ry,NW-ry,
L30955367,US-NC,,1.52400,in,nesbox,s,27.94000,NW-ry,NW-ry,
L30955425,US-NC,,1.52400,in,nesbox,s,27.94000,NW-ry,NW-ry,
L30955486,US-NC,,1.52400,in,nesbox,ne,27.94000,NW-park,NW-park,
L30955531,US-NC,,1.52400,in,nesbox,se,27.94000,NW-park,NW-park,
L30955576,US-NC,,1.52400,in,nesbox,sw,27.94000,NW-park,NW-park,
L30955640,US-NC,,1.52400,in,nesbox,s,27.94000,NW-ry,NW-ry,
L30955699,US-NC,,1.52400,in,nesbox,se,27.94000,NW-ry,NW-golf,
L30955738,US-NC,,1.52400,in,nesbox,se,27.94000,NW-park,NW-ry,
L30958112,US-NC,,1.52400,in,nesbox,s,27.94000,NW-golf,NW-golf,
L30958181,US-NC,,1.52400,in,nesbox,n,27.94000,NW-for,NW-for,
L17727315,US-NC,219.45600,1.52400,in,nesbox,n,3.81000,NW-ry,NW-for,
L31316660,US-NC,,,on,poptow,,,,,
L9353569,US-NC,95.09760,1.82880,on,poptow,se,3.81000,NW-ry,NW-ag,
L31568476,US-NC,,1.52000,in,nesbox,sw,3.81000,,,
L31657762,US-NC,131.06400,,in,nesbox,nw,,NW-for,,
L31731499,US-NC,,,in,nesbox,sw,,NW-ry,NW-ry,
L31769819,US-NC,274.32000,1.21920,in,nesbox,e,5.08000,NW-road,NW-for,
L31769590,US-NC,274.32000,1.52400,in,nesbox,e,10.16000,NW-for,NW-for,
L32073059,US-NC,130.45440,1.52400,in,nesbox,nw,3.81000,NW-ry,NW-for,
L32176668,US-NC,,1.52000,in,nesbox,,,,,
L32287846,US-NC,,1.52000,in,nesbox,,,,,
L32689456,US-NC,,1.67640,in,nesbox,s,3.81000,NW-ry,NW-for,
L32884886,US-NC,,1.83000,in,nesbox,e,,,,
L33147949,US-NC,,2.13000,in,nesbox,ne,4.45000,,,
L33408624,US-NC,,1.52000,in,nesbox,n,3.81000,,,
L32549834,US-NC,91.44000,1.52400,in,nesbox,e,,NW-ry,NW-ry,
L33623017,US-NC,,1.52000,in,nesbox,,3.81000,,,
L33650272,US-NC,,3.05000,in,nesbox,e,,,,
L34072892,US-NC,,1.52400,in,nesbox,,3.81000,NW-park,NW-campus,
L34073364,US-NC,,1.52400,in,nesbox,,3.81000,NW-for,NW-campus,
L34073813,US-NC,,1.52400,in,nesbox,,3.81000,NW-park,NW-for,
L34074054,US-NC,,1.52400,in,nesbox,,3.81000,NW-oth,NW-park,
L34074466,US-NC,,1.52400,in,nesbox,,3.81000,NW-ry,NW-ry,
L34074555,US-NC,,1.52400,in,nesbox,,3.81000,NW-ry,NW-ry,
L34074665,US-NC,,1.52400,in,nesbox,,3.81000,NW-campus,NW-campus,
L34074966,US-NC,,1.52400,in,nesbox,,3.81000,NW-campus,NW-campus,
L34075046,US-NC,,1.52400,in,nesbox,,3.81000,NW-campus,NW-campus,
L34075146,US-NC,,1.52400,in,nesbox,,3.81000,NW-ry,NW-ry,
L34075252,US-NC,,1.52400,in,nesbox,,3.81000,NW-ry,NW-ry,
L24680147,US-NC,2.43840,1.52400,in,nesbox,e,3.81000,NW-ry,NW-sw,
L36027478,US-NC,6.09600,1.52400,in,nesbox,nw,27.94000,NW-ry,NW-ry,
L36027905,US-NC,6.09600,1.52400,in,nesbox,se,27.94000,NW-ry,NW-for,
L1425368,US-NC,,1.52400,in,nesbox,ne,3.81000,NW-grass,NW-grass,
L1460986,US-NC,,,in,nesbox,,,NW-ry,NW-ry,
L154648,US-NC,103.60000,1.37160,in,nesbox,s,3.17500,NW-road,NW-for,
L154650,US-NC,101.50000,1.98120,in,nesbox,ne,3.17500,NW-park,NW-park,
L154658,US-NC,95.10000,1.79830,in,nesbox,ne,3.17500,NW-road,NW-for,
L154660,US-NC,95.70000,1.88980,in,nesbox,ne,3.17500,NW-road,NW-for,
L154661,US-NC,107.60000,1.82880,in,nesbox,n,3.17500,NW-for,NW-for,
L154663,US-NC,73.20000,1.85930,in,nesbox,ne,3.17500,NW-for,NW-for,
L1606502,US-NC,,,in,nesbox,,,NW-ry,NW-ry,
L2737597,US-NC,,1.52400,in,nesbox,se,3.17500,NW-ry,NW-ry,
L2737601,US-NC,,1.52400,in,nesbox,s,2.85800,NW-ry,NW-ry,
L692317,US-NC,137.19960,1.67640,in,nesbox,se,3.81000,NW-ry,NW-ry,
