Start Time,End Time,Bird Call,Location,Distance,Date
60,63,Mourning Dove,ncbg,50m,614
69,72,Yellow-billed Cuckoo,ncbg,50m,614
78,81,Acadian Flycatcher,ncbg,50m,614
82.5,85.5,Blue-gray Gnatcatcher,ncbg,50m,614
85.5,88.5,Carolina Wren,ncbg,50m,614
88.5,91.5,Eastern Wood Pewee,ncbg,50m,614
94.5,97.5,Mourning Dove,ncbg,50m,614
102,105,Yellow-billed Cuckoo,ncbg,50m,614
130.5,133.5,Acadian Flycatcher,ncbg,50m,614
135,138,Blue-gray Gnatcatcher,ncbg,50m,614
136.5,139.5,Carolina Wren,ncbg,50m,614
139.5,142.5,Eastern Wood Pewee,ncbg,50m,614
145.5,148.5,Mourning Dove,ncbg,50m,614
154.5,157.5,Yellow-billed Cuckoo,ncbg,50m,614
13.5,16.5,Acadian Flycatcher,pridge,25m,522
16.5,19.5,Blue-gray Gnatcatcher,pridge,25m,522
21,24,Carolina Wren,pridge,25m,522
24,27,Eastern Wood Pewee,pridge,25m,522
30,33,Mourning Dove,pridge,25m,522
39,42,Yellow-billed Cuckoo,pridge,25m,522
51,54,Acadian Flycatcher,pridge,25m,522
52.5,55.5,Blue-gray Gnatcatcher,pridge,25m,522
57,60,Carolina Wren,pridge,25m,522
60,63,Eastern Wood Pewee,pridge,25m,522
66,69,Mourning Dove,pridge,25m,522
75,78,Yellow-billed Cuckoo,pridge,25m,522
87,90,Acadian Flycatcher,pridge,25m,522
90,93,Blue-gray Gnatcatcher,pridge,25m,522
94.5,97.5,Carolina Wren,pridge,25m,522
97.5,100.5,Eastern Wood Pewee,pridge,25m,522
103.5,106.5,Mourning Dove,pridge,25m,522
111,114,Yellow-billed Cuckoo,pridge,25m,522
124.5,127.5,Acadian Flycatcher,pridge,25m,522
127.5,130.5,Blue-gray Gnatcatcher,pridge,25m,522
132,135,Carolina Wren,pridge,25m,522
136.5,139.5,Eastern Wood Pewee,pridge,25m,522
139.5,142.5,Mourning Dove,pridge,25m,522
150,153,Yellow-billed Cuckoo,pridge,25m,522
54,57,Acadian Flycatcher,pridge,25m,619
57,60,Blue-gray Gnatcatcher,pridge,25m,619
60,63,Carolina Wren,pridge,25m,619
64.5,67.5,Eastern Wood Pewee,pridge,25m,619
70.5,73.5,Mourning Dove,pridge,25m,619
78,81,Yellow-billed Cuckoo,pridge,25m,619
87,90,Acadian Flycatcher,pridge,25m,619
90,93,Blue-gray Gnatcatcher,pridge,25m,619
93,96,Carolina Wren,pridge,25m,619
96,99,Eastern Wood Pewee,pridge,25m,619
103.5,106.5,Mourning Dove,pridge,25m,619
111,114,Yellow-billed Cuckoo,pridge,25m,619
118.5,121.5,Acadian Flycatcher,pridge,25m,619
121.5,124.5,Blue-gray Gnatcatcher,pridge,25m,619
124.5,127.5,Carolina Wren,pridge,25m,619
129,132,Eastern Wood Pewee,pridge,25m,619
136.5,139.5,Mourning Dove,pridge,25m,619
141,144,Yellow-billed Cuckoo,pridge,25m,619
7.5,10.5,Acadian Flycatcher,pridge,50m,522
9,12,Blue-gray Gnatcatcher,pridge,50m,522
15,18,Carolina Wren,pridge,50m,522
18,21,Eastern Wood Pewee,pridge,50m,522
22.5,25.5,Mourning Dove,pridge,50m,522
31.5,34.5,Yellow-billed Cuckoo,pridge,50m,522
45,48,Acadian Flycatcher,pridge,50m,522
48,51,Blue-gray Gnatcatcher,pridge,50m,522
51,54,Carolina Wren,pridge,50m,522
55.5,58.5,Eastern Wood Pewee,pridge,50m,522
61.5,64.5,Mourning Dove,pridge,50m,522
70.5,73.5,Yellow-billed Cuckoo,pridge,50m,522
81,84,Acadian Flycatcher,pridge,50m,522
84,87,Blue-gray Gnatcatcher,pridge,50m,522
88.5,91.5,Carolina Wren,pridge,50m,522
90,93,Eastern Wood Pewee,pridge,50m,522
96,99,Mourning Dove,pridge,50m,522
105,108,Yellow-billed Cuckoo,pridge,50m,522
117,120,Acadian Flycatcher,pridge,50m,522
120,123,Blue-gray Gnatcatcher,pridge,50m,522
123,126,Carolina Wren,pridge,50m,522
126,129,Eastern Wood Pewee,pridge,50m,522
132,135,Mourning Dove,pridge,50m,522
141,144,Yellow-billed Cuckoo,pridge,50m,522
33,36,Acadian Flycatcher,pridge ,50m,619
36,39,Blue-gray Gnatcatcher,pridge ,50m,619
39,42,Carolina Wren,pridge ,50m,619
43.5,36.5,Eastern Wood Pewee,pridge ,50m,619
46.5,49.5,Mourning Dove,pridge ,50m,619
61.5,64.5,Yellow-billed Cuckoo,pridge ,50m,619
67.5,70.5,Acadian Flycatcher,pridge ,50m,619
70.5,73.5,Blue-gray Gnatcatcher,pridge ,50m,619
75,78,Carolina Wren,pridge ,50m,619
78,81,Eastern Wood Pewee,pridge ,50m,619
85.5,88.5,Mourning Dove,pridge ,50m,619
91.5,94.5,Yellow-billed Cuckoo,pridge ,50m,619
100.5,103.5,Acadian Flycatcher,pridge ,50m,619
102,105,Blue-gray Gnatcatcher,pridge ,50m,619
108,111,Carolina Wren,pridge ,50m,619
109.5,112.5,Eastern Wood Pewee,pridge ,50m,619
112.5,115.5,Mourning Dove,pridge ,50m,619
120,123,Yellow-billed Cuckoo,pridge ,50m,619
129,132,Acadian Flycatcher,pridge ,50m,619
135,138,Blue-gray Gnatcatcher,pridge ,50m,619
136.5,139.5,Carolina Wren,pridge ,50m,619
141,144,Eastern Wood Pewee,pridge ,50m,619
145.5,148.5,Mourning Dove,pridge ,50m,619
153,156,Yellow-billed Cuckoo,pridge ,50m,619
109.5,112.5,Acadian Flycatcher,unc,25m,516
124.5,121.5,Acadian Flycatcher,unc,25m,516
135,138,Acadian Flycatcher,unc,25m,516
162,165,Blue-gray Gnatcatcher,unc,25m,516
178.5,181.5,Blue-gray Gnatcatcher,unc,25m,516
190.5,193.5,Blue-gray Gnatcatcher,unc,25m,516
205.5,208.5,Carolina Wren,unc,25m,516
210,213,Carolina Wren,unc,25m,516
214.5,217.5,Carolina Wren,unc,25m,516
240,243,Eastern Wood Pewee,unc,25m,516
247.5,250.5,Eastern Wood Pewee,unc,25m,516
255,258,Eastern Wood Pewee,unc,25m,516
324,327,Mourning Dove,unc,25m,516
334.5,337.5,Mourning Dove,unc,25m,516
343.5,343.5,Mourning Dove,unc,25m,516
361.5,364.5,Yellow-billed Cuckoo,unc,25m,516
370.5,373.5,Yellow-billed Cuckoo,unc,25m,516
391.5,394.5,Yellow-billed Cuckoo,unc,25m,516
39,42,Acadian Flycatcher,unc,25m,523
42,45,Blue-gray Gnatcatcher,unc,25m,523
45,48,Carolina Wren,unc,25m,523
49.5,52.5,Eastern Wood Pewee,unc,25m,523
55.5,58.5,Mourning Dove,unc,25m,523
63,66,Yellow-billed Cuckoo,unc,25m,523
76.5,79.5,Acadian Flycatcher,unc,25m,523
79.5,82.5,Blue-gray Gnatcatcher,unc,25m,523
84,87,Carolina Wren,unc,25m,523
87,90,Eastern Wood Pewee,unc,25m,523
93,96,Mourning Dove,unc,25m,523
100.5,103.5,Yellow-billed Cuckoo,unc,25m,523
112.5,115.5,Acadian Flycatcher,unc,25m,523
115.5,118.5,Blue-gray Gnatcatcher,unc,25m,523
120,123,Carolina Wren,unc,25m,523
121.5,124.5,Eastern Wood Pewee,unc,25m,523
126,129,Mourning Dove,unc,25m,523
135,138,Yellow-billed Cuckoo,unc,25m,523
40.5,43.5,Acadian Flycatcher,unc ,25m,620
43.5,46.5,Blue-gray Gnatcatcher,unc ,25m,620
48,51,Carolina Wren,unc ,25m,620
51,54,Eastern Wood Pewee,unc ,25m,620
55.5,58.5,Mourning Dove,unc ,25m,620
61.5,64.5,Yellow-billed Cuckoo,unc ,25m,620
73.5,76.5,Acadian Flycatcher,unc ,25m,620
76.5,79.5,Blue-gray Gnatcatcher,unc ,25m,620
79.5,82.5,Carolina Wren,unc ,25m,620
82.5,85.5,Eastern Wood Pewee,unc ,25m,620
87,90,Mourning Dove,unc ,25m,620
96,99,Yellow-billed Cuckoo,unc ,25m,620
169.5,172.5,Acadian Flycatcher,unc ,25m,620
172.5,175.5,Blue-gray Gnatcatcher,unc ,25m,620
175.5,178.5,Carolina Wren,unc ,25m,620
178.5,181.5,Eastern Wood Pewee,unc ,25m,620
184.5,187.5,Mourning Dove,unc ,25m,620
163.5,166.5,Yellow-billed Cuckoo,unc ,25m,620
18,21,Acadian Flycatcher,unc,50m,523
24,27,Blue-gray Gnatcatcher,unc,50m,523
31.5,34.5,Carolina Wren,unc,50m,523
36,39,Eastern Wood Pewee,unc,50m,523
43.5,46.5,Mourning Dove,unc,50m,523
51,54,Yellow-billed Cuckoo,unc,50m,523
61.5,64.5,Acadian Flycatcher,unc,50m,523
66,69,Blue-gray Gnatcatcher,unc,50m,523
72,75,Carolina Wren,unc,50m,523
78,81,Eastern Wood Pewee,unc,50m,523
84,87,Mourning Dove,unc,50m,523
96,99,Yellow-billed Cuckoo,unc,50m,523
102,105,Acadian Flycatcher,unc,50m,523
105,108,Blue-gray Gnatcatcher,unc,50m,523
109.5,112.5,Carolina Wren,unc,50m,523
112.5,115.5,Eastern Wood Pewee,unc,50m,523
132,135,Mourning Dove,unc,50m,523
147,150,Yellow-billed Cuckoo,unc,50m,523
13.5,16.5,Acadian Flycatcher,unc,50m,620
18,21,Blue-gray Gnatcatcher,unc,50m,620
25.5,28.5,Carolina Wren,unc,50m,620
30,33,Eastern Wood Pewee,unc,50m,620
33,36,Mourning Dove,unc,50m,620
45,48,Yellow-billed Cuckoo,unc,50m,620
58.5,61.5,Acadian Flycatcher,unc,50m,620
63,66,Blue-gray Gnatcatcher,unc,50m,620
66,69,Carolina Wren,unc,50m,620
70.5,73.5,Eastern Wood Pewee,unc,50m,620
76.5,79.5,Mourning Dove,unc,50m,620
87,90,Yellow-billed Cuckoo,unc,50m,620
100.5,103.5,Acadian Flycatcher,unc,50m,620
106.5,109.5,Blue-gray Gnatcatcher,unc,50m,620
109.5,112.5,Carolina Wren,unc,50m,620
112.5,115.5,Eastern Wood Pewee,unc,50m,620
120,123,Mourning Dove,unc,50m,620
124.5,127.5,Yellow-billed Cuckoo,unc,50m,620
